datetime;P_kW;DRFI
2014-05-04 18:30:00;996,9618748202157;0,32492510581347284
2014-05-04 19:00:00;1013,4300334930372;0,325692329745854
2014-05-04 19:30:00;1033,4163273664121;0,32667012906322396
2014-05-04 20:00:00;1055,5648304079666;0,3278439052391019
2014-05-04 20:30:00;1078,0946552092166;0,3291797274147583
2014-05-04 21:00:00;1098,8953704836906;0,33062659622986507
2014-05-04 21:30:00;1115,6937180544337;0,3316259662066997
2014-05-04 22:00:00;1126,2674037317272;0,33127249613138776
2014-05-04 22:30:00;1128,6723045674846;0,3307999365852752
2014-05-04 23:00:00;1121,5004162828704;0,3298002721348524
2014-05-04 23:30:00;1104,0976216242784;0,3289776162590133
2014-05-05 00:00:00;1076,6582149644548;0,3284222699286495
2014-05-05 00:30:00;1040,2914356357949;0,3282218880883613
2014-05-05 01:00:00;996,9794157896002;0,3284413954749341
2014-05-05 01:30:00;949,4071188470743;0,32911799888093296
2014-05-05 02:00:00;900,7666565524829;0,3323629496121354
2014-05-05 02:30:00;854,438277485726;0,3351455878485748
2014-05-05 03:00:00;813,6834733206897;0,33728770089488097
2014-05-05 03:30:00;781,3465743275758;0,33964132191052854
2014-05-05 04:00:00;759,5537391650936;0,34205754120011606
2014-05-05 04:30:00;749,5442349212768;0,3441324599328447
2014-05-05 05:00:00;751,5569409581682;0,3420920956741885
2014-05-05 05:30:00;764,8534406387128;0,3403757808199821
2014-05-05 06:00:00;787,8125736281585;0,33904663281830144
2014-05-05 06:30:00;818,1072248832602;0,3381217203400159
2014-05-05 07:00:00;852,926241894205;0,3429016962118411
2014-05-05 07:30:00;889,2758125226079;0,34424164961351195
2014-05-05 08:00:00;924,2606181453742;0,34389759211341275
2014-05-05 08:30:00;955,3399524850831;0,3435824609753801
2014-05-05 09:00:00;980,5394411039572;0,3431588987905525
2014-05-05 09:30:00;998,57140281043;0,3425076354181549
2014-05-05 10:00:00;1008,8778100821237;0,3415487714508495
2014-05-05 10:30:00;1011,5773224142239;0,34024476483609395
2014-05-05 11:00:00;1007,360746746041;0,3404248870851475
2014-05-05 11:30:00;997,372835282835;0,34078746450372616
2014-05-05 12:00:00;983,0071031328368;0,34117296316181495
2014-05-05 12:30:00;965,755830287594;0,3414953008673054
2014-05-05 13:00:00;947,1006442418638;0,3479136858230585
2014-05-05 13:30:00;928,409283907726;0,3478458063796458
2014-05-05 14:00:00;910,8599446739537;0,34749207055977793
2014-05-05 14:30:00;895,4760561060353;0,35307888819768835
2014-05-05 15:00:00;883,1079170599363;0,35314366246689494
2014-05-05 15:30:00;874,4713350630651;0,3533653386547782
2014-05-05 16:00:00;870,1434154205002;0,3526773500449787
