timestamp,feeder_id,p_kw
2014-01-03T00:30:00,P8,553
2014-01-03T01:00:00,P8,528
2014-01-03T01:30:00,P8,529
2014-01-03T02:00:00,P8,512
2014-01-03T02:30:00,P8,509
2014-01-03T03:00:00,P8,498
2014-01-03T03:30:00,P8,494
2014-01-03T04:00:00,P8,496
2014-01-03T04:30:00,P8,479
2014-01-03T05:00:00,P8,492
2014-01-03T05:30:00,P8,502
2014-01-03T06:00:00,P8,509
2014-01-03T06:30:00,P8,480
2014-01-03T07:00:00,P8,462
2014-01-03T07:30:00,P8,465
2014-01-03T08:00:00,P8,468
2014-01-03T08:30:00,P8,469
2014-01-03T09:00:00,P8,484
2014-01-03T09:30:00,P8,496
2014-01-03T10:00:00,P8,520
2014-01-03T10:30:00,P8,537
2014-01-03T11:00:00,P8,547
2014-01-03T11:30:00,P8,549
2014-01-03T12:00:00,P8,555
2014-01-03T12:30:00,P8,545
2014-01-03T13:00:00,P8,556
2014-01-03T13:30:00,P8,572
2014-01-03T14:00:00,P8,574
2014-01-03T14:30:00,P8,564
2014-01-03T15:00:00,P8,556
2014-01-03T15:30:00,P8,541
2014-01-03T16:00:00,P8,549
2014-01-03T16:30:00,P8,544
2014-01-03T17:00:00,P8,549
2014-01-03T17:30:00,P8,564
2014-01-03T18:00:00,P8,590
2014-01-03T18:30:00,P8,603
2014-01-03T19:00:00,P8,588
2014-01-03T19:30:00,P8,586
2014-01-03T20:00:00,P8,598
2014-01-03T20:30:00,P8,579
2014-01-03T21:00:00,P8,576
2014-01-03T21:30:00,P8,570
2014-01-03T22:00:00,P8,586
2014-01-03T22:30:00,P8,568
2014-01-03T23:00:00,P8,544
2014-01-03T23:30:00,P8,561
2014-01-04T00:00:00,P8,566
2014-01-04T00:30:00,P8,535
2014-01-04T01:00:00,P8,510
2014-01-04T01:30:00,P8,510
2014-01-04T02:00:00,P8,511
2014-01-04T02:30:00,P8,520
2014-01-04T03:00:00,P8,494
2014-01-04T03:30:00,P8,501
2014-01-04T04:00:00,P8,495
2014-01-04T04:30:00,P8,495
2014-01-04T05:00:00,P8,471
2014-01-04T05:30:00,P8,458
2014-01-04T06:00:00,P8,480
2014-01-04T06:30:00,P8,475
2014-01-04T07:00:00,P8,468
2014-01-04T07:30:00,P8,464
2014-01-04T08:00:00,P8,472
2014-01-04T08:30:00,P8,470
2014-01-04T09:00:00,P8,465
2014-01-04T09:30:00,P8,472
2014-01-04T10:00:00,P8,485
2014-01-04T10:30:00,P8,526
2014-01-04T11:00:00,P8,537
2014-01-04T11:30:00,P8,533
2014-01-04T12:00:00,P8,527
2014-01-04T12:30:00,P8,554
2014-01-04T13:00:00,P8,544
2014-01-04T13:30:00,P8,523
2014-01-04T14:00:00,P8,538
2014-01-04T14:30:00,P8,544
2014-01-04T15:00:00,P8,536
2014-01-04T15:30:00,P8,522
2014-01-04T16:00:00,P8,511
2014-01-04T16:30:00,P8,515
2014-01-04T17:00:00,P8,548
2014-01-04T17:30:00,P8,527
2014-01-04T18:00:00,P8,552
2014-01-04T18:30:00,P8,596
2014-01-04T19:00:00,P8,600
2014-01-04T19:30:00,P8,587
2014-01-04T20:00:00,P8,587
2014-01-04T20:30:00,P8,589
2014-01-04T21:00:00,P8,574
2014-01-04T21:30:00,P8,598
2014-01-04T22:00:00,P8,588
2014-01-04T22:30:00,P8,546
2014-01-04T23:00:00,P8,542
2014-01-04T23:30:00,P8,546
2014-01-05T00:00:00,P8,511
2014-01-05T00:30:00,P8,514
2014-01-05T01:00:00,P8,494
2014-01-05T01:30:00,P8,487
2014-01-05T02:00:00,P8,482
2014-01-05T02:30:00,P8,487
2014-01-05T03:00:00,P8,469
2014-01-05T03:30:00,P8,463
2014-01-05T04:00:00,P8,449
2014-01-05T04:30:00,P8,463
2014-01-05T05:00:00,P8,463
2014-01-05T05:30:00,P8,454
2014-01-05T06:00:00,P8,440
2014-01-05T06:30:00,P8,452
2014-01-05T07:00:00,P8,450
2014-01-05T07:30:00,P8,436
2014-01-05T08:00:00,P8,437
2014-01-05T08:30:00,P8,432
2014-01-05T09:00:00,P8,447
2014-01-05T09:30:00,P8,466
2014-01-05T10:00:00,P8,470
2014-01-05T10:30:00,P8,468
2014-01-05T11:00:00,P8,474
2014-01-05T11:30:00,P8,472
2014-01-05T12:00:00,P8,464
2014-01-05T12:30:00,P8,479
2014-01-05T13:00:00,P8,492
2014-01-05T13:30:00,P8,492
2014-01-05T14:00:00,P8,486
2014-01-05T14:30:00,P8,486
2014-01-05T15:00:00,P8,487
2014-01-05T15:30:00,P8,477
2014-01-05T16:00:00,P8,482
2014-01-05T16:30:00,P8,456
2014-01-05T17:00:00,P8,446
2014-01-05T17:30:00,P8,472
2014-01-05T18:00:00,P8,486
2014-01-05T18:30:00,P8,526
2014-01-05T19:00:00,P8,534
2014-01-05T19:30:00,P8,514
2014-01-05T20:00:00,P8,507
2014-01-05T20:30:00,P8,507
2014-01-05T21:00:00,P8,494
2014-01-05T21:30:00,P8,491
2014-01-05T22:00:00,P8,486
2014-01-05T22:30:00,P8,470
2014-01-05T23:00:00,P8,472
2014-01-05T23:30:00,P8,469
2014-01-06T00:00:00,P8,470
2014-01-06T00:30:00,P8,486
2014-01-06T01:00:00,P8,456
2014-01-06T01:30:00,P8,445
